count	codes	platform	label
14	PVS1	CS_VUS	PVS1=(14)
60	PM1	CS_VUS	PM1=(60)
567	PM2	CS_VUS	PM2=(567)
1	PM4	CS_VUS	PM4=(1)
48	PM5	CS_VUS	PM5=(48)
15	PP2	CS_VUS	PP2=(15)
413	PP3	CS_VUS	PP3=(413)
11	BS1	CS_VUS	BS1=(11)
1	BS2	CS_VUS	BS2=(1)
51	BP4	CS_VUS	BP4=(51)
12	BP7	CS_VUS	BP7=(12)
16	PVS1	CF_VUS	PVS1=(16)
128	PM1	CF_VUS	PM1=(128)
548	PM2	CF_VUS	PM2=(548)
1	PM4	CF_VUS	PM4=(1)
34	PM5	CF_VUS	PM5=(34)
38	PP2	CF_VUS	PP2=(38)
373	PP3	CF_VUS	PP3=(373)
10	BS1	CF_VUS	BS1=(10)
4	BS2	CF_VUS	BS2=(4)
21	BP4	CF_VUS	BP4=(21)
24	BP7	CF_VUS	BP7=(24)
